Pos	PosRank	Player	Team	AB	R	HR	RBI	SB	AVG	OBP	SLG	Value	SBAB
C	47	Stephen Vogt	OAK	150	17	4	17	1	0.247	0.294	0.38	-$28.00	0.0066666667
C	64	Taylor Teagarden	NYM	100	9	3	11	1	0.24	0.269	0.37	-$33.00	0.01
C	57	Tim Federowicz	LAD	160	11	4	17	0	0.238	0.287	0.363	-$31.00	0
C	59	Tony Cruz	STL	140	14	1	15	0	0.243	0.279	0.336	-$32.00	0
C	44	Travis d'Arnaud	NYM	385	16	4	35	0	0.242	0.326	0.304	-$28.00	0
C	32	Tyler Flowers	CWS	255	29	11	32	1	0.227	0.286	0.4	-$20.00	0.0039215686
C	24	Welington Castillo	CHC	375	39	9	44	2	0.251	0.331	0.384	-$13.00	0.0053333333
C	70	Wil Nieves	PHI	110	8	1	11	0	0.236	0.27	0.318	-$35.00	0
C	4	Wilin Rosario	COL	450	60	24	69	4	0.282	0.316	0.502	$17.00	0.0088888889
C	12	Wilson Ramos	WAS	379	44	17	57	1	0.269	0.319	0.446	$1.00	0.0026385224
C	8	Yadier Molina	STL	451	53	12	65	5	0.295	0.344	0.439	$9.00	0.0110864745
C	17	Yan Gomes	CLE	356	46	13	46	2	0.256	0.31	0.435	-$5.00	0.0056179775
C	27	Yasmani Grandal	SD	280	41	8	34	0	0.254	0.38	0.414	-$15.00	0
C	65	Yorvit Torrealba	LAA	100	9	1	11	0	0.26	0.315	0.34	-$33.00	0
DH	2	Billy Butler	KAN	580	71	19	88	1	0.288	0.367	0.447	$16.00	0.0017241379
DH	1	David Ortiz	BOS	460	74	24	86	2	0.289	0.38	0.52	$19.00	0.0043478261
OF	100	A.J. Pollock	ARI	360	47	6	35	11	0.269	0.32	0.403	-$13.00	0.0305555556
OF	162	Aaron Hicks	MIN	172	22	4	17	5	0.227	0.296	0.366	-$34.00	0.0290697674
OF	127	Abraham Almonte	SEA	257	34	6	25	8	0.245	0.307	0.37	-$24.00	0.0311284047
OF	69	Adam Eaton	CWS	477	73	7	43	17	0.262	0.333	0.379	$0.00	0.035639413
OF	6	Adam Jones	BAL	578	81	28	90	12	0.285	0.323	0.491	$30.00	0.0207612457
OF	46	Alejandro de Aza	CWS	518	74	13	53	19	0.266	0.329	0.407	$7.00	0.0366795367
OF	21	Alex Gordon	KAN	591	87	17	75	10	0.271	0.34	0.431	$18.00	0.0169204738
OF	75	Alex Presley	MIN	457	58	9	43	13	0.267	0.316	0.398	-$5.00	0.0284463895
OF	19	Alex Rios	TEX	539	72	16	73	25	0.278	0.319	0.436	$18.00	0.0463821892
OF	34	Alfonso Soriano	NYY	493	64	26	82	10	0.247	0.297	0.462	$12.00	0.0202839757
OF	101	Andre Ethier	LAD	317	42	9	43	2	0.271	0.349	0.423	-$14.00	0.0063091483
OF	134	Andres Torres	FA	250	36	3	24	8	0.232	0.309	0.34	-$27.00	0.032
OF	3	Andrew McCutchen	PIT	569	95	22	87	23	0.292	0.378	0.482	$36.00	0.0404217926
OF	93	Andy Dirks	DET	353	49	9	39	6	0.266	0.326	0.399	-$12.00	0.0169971671
OF	58	Angel Pagan	SF	486	71	7	49	19	0.27	0.325	0.397	$2.00	0.0390946502
OF	140	Anthony Gose	TOR	227	28	3	21	12	0.233	0.287	0.352	-$29.00	0.0528634361
OF	32	Austin Jackson	DET	563	86	13	60	12	0.274	0.343	0.423	$12.00	0.0213143872
OF	70	Avisail Garcia	CWS	470	57	14	55	9	0.266	0.302	0.404	-$1.00	0.0191489362
OF	80	B.J. Upton	ATL	419	54	14	49	18	0.227	0.303	0.387	-$7.00	0.0429594272
OF	68	Ben Revere	PHI	496	60	2	36	32	0.286	0.327	0.347	$0.00	0.064516129
OF	47	Billy Hamilton	CIN	484	60	5	40	63	0.248	0.305	0.343	$6.00	0.1301652893
OF	183	Bobby Abreu	PHI	70	9	2	8	2	0.243	0.338	0.386	-$41.00	0.0285714286
OF	147	Brandon Barnes	COL	206	24	5	23	5	0.248	0.295	0.383	-$29.00	0.0242718447
OF	176	Brennan Boesch	LAA	100	12	3	12	1	0.25	0.306	0.41	-$39.00	0.01
OF	35	Brett Gardner	NYY	543	85	8	55	29	0.263	0.341	0.389	$12.00	0.0534069982
OF	145	Brian Bogusevic	MIA	200	24	5	22	6	0.25	0.321	0.39	-$29.00	0.03
OF	7	Bryce Harper	WAS	521	88	25	76	15	0.278	0.366	0.497	$26.00	0.0287907869
OF	195	Caleb Gindl	MIL	28	2	1	2	0	0.179	0.233	0.321	-$47.00	0
OF	106	Cameron Maybin	SD	324	46	7	34	16	0.241	0.305	0.364	-$15.00	0.049382716
OF	55	Carl Crawford	LAD	471	69	10	51	17	0.27	0.315	0.408	$3.00	0.0360934183
OF	23	Carlos Beltran	NYY	500	72	23	81	5	0.276	0.339	0.474	$17.00	0.01
OF	9	Carlos Gomez	MIL	536	78	23	72	36	0.265	0.316	0.468	$25.00	0.0671641791
OF	4	Carlos Gonzalez	COL	506	84	29	87	21	0.298	0.365	0.553	$36.00	0.0415019763
OF	168	Carlos Peguero	SEA	125	14	5	17	2	0.232	0.289	0.408	-$36.00	0.016
OF	61	Carlos Quentin	SD	408	60	19	66	1	0.255	0.338	0.466	$1.00	0.0024509804
OF	157	Charlie Blackmon	COL	155	19	3	18	4	0.277	0.321	0.413	-$32.00	0.0258064516
OF	182	Chris Coghlan	CHC	105	12	1	9	2	0.238	0.31	0.333	-$41.00	0.019047619
OF	110	Chris Denorfia	SD	297	42	6	30	7	0.266	0.325	0.384	-$18.00	0.0235690236
OF	174	Chris Dickerson	PIT	100	14	3	10	4	0.24	0.296	0.38	-$38.00	0.04
OF	146	Chris Heisey	CIN	182	24	7	22	2	0.253	0.299	0.423	-$29.00	0.010989011
OF	87	Chris Young	NYM	415	55	15	49	12	0.224	0.308	0.398	-$8.00	0.0289156627
OF	53	Christian Yelich	MIA	533	73	11	56	16	0.255	0.332	0.385	$3.00	0.0300187617
OF	30	Coco Crisp	OAK	516	81	15	57	28	0.256	0.326	0.407	$13.00	0.0542635659
OF	73	Cody Ross	ARI	420	54	14	58	4	0.257	0.319	0.419	-$4.00	0.0095238095
OF	55	Colby Rasmus	TOR	450	65	21	64	3	0.251	0.319	0.46	$3.00	0.0066666667
OF	169	Collin Cowgill	LAA	148	17	3	16	3	0.236	0.285	0.351	-$36.00	0.0202702703
OF	85	Corey Dickerson	COL	354	48	12	42	6	0.28	0.331	0.489	-$8.00	0.0169491525
OF	124	Craig Gentry	OAK	234	31	2	23	15	0.269	0.342	0.368	-$23.00	0.0641025641
OF	34	Curtis Granderson	NYM	511	78	25	71	13	0.233	0.321	0.434	$12.00	0.0254403131
OF	80	Daniel Nava	BOS	398	56	9	49	2	0.271	0.353	0.41	-$7.00	0.0050251256
